pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
DMPP-1 b,DMPP-1,1,4,0,18.57000000,0.01000000,-0.01000000,0,0.146200,0.001200,-0.001200,0,,,,,24.27000,1.16000,-1.59000,0,0.083000,,,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,4.41,0.21,-0.21,0
DMPP-1 c,DMPP-1,1,4,0,6.58400000,0.00300000,-0.00200000,0,0.073300,0.000600,-0.000700,0,,,,,9.60000,0.53000,-1.58000,0,0.057000,,,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,4.41,0.21,-0.21,0
DMPP-1 d,DMPP-1,1,4,0,2.88200000,0.00100000,-0.00100000,0,0.042200,0.000400,-0.000300,0,,,,,3.35000,0.38000,-0.34000,0,0.070000,,,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,4.41,0.21,-0.21,0
DMPP-1 e,DMPP-1,1,4,0,5.51600000,0.00200000,-0.00400000,0,0.065100,0.000500,-0.000500,0,,,,,4.13000,0.66000,-1.14000,0,0.070000,,,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,4.41,0.21,-0.21,0
GJ 3293 b,GJ 3293,1,4,0,30.60000000,0.01000000,-0.01000000,0,0.143400,,,0,,,,,25.72000,1.72000,-1.72000,0,0.070000,0.040000,-0.040000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,,,0,,,,
GJ 3293 b,GJ 3293,1,4,0,30.59870000,0.00830000,-0.00840000,0,0.143390,0.000030,-0.000030,0,,,,,23.54000,0.88000,-0.89000,0,0.060000,0.040000,-0.040000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,0.114,-0.044,0,,,,
GJ 3293 c,GJ 3293,1,4,0,123.75000000,0.30000000,-0.30000000,0,0.364000,,,0,,,,,25.72000,1.72000,-1.72000,0,0.330000,0.060000,-0.060000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,,,0,,,,
GJ 3293 c,GJ 3293,1,4,0,122.61960000,0.24290000,-0.23710000,0,0.361750,0.000480,-0.000470,0,,,,,21.09000,1.24000,-1.26000,0,0.110000,0.100000,-0.080000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,0.114,-0.044,0,,,,
GJ 3293 d,GJ 3293,1,4,0,48.13450000,0.06280000,-0.06610000,0,0.193940,0.000170,-0.000180,0,,,,,7.60000,1.05000,-1.05000,0,0.120000,0.130000,-0.090000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,0.114,-0.044,0,,,,
GJ 3293 e,GJ 3293,1,4,0,13.25430000,0.00780000,-0.01040000,0,0.082080,0.000030,-0.000040,0,,,,,3.28000,0.64000,-0.64000,0,0.210000,0.200000,-0.140000,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0,-1.658,0.114,-0.044,0,,,,
GJ 876 b,GJ 876,1,4,0,60.83000000,0.01900000,-0.01900000,0,0.207740,0.000040,-0.000040,0,,,,,804.07600,2.54300,-2.54300,0,0.033800,0.002500,-0.002500,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 b,GJ 876,1,4,0,61.06500000,0.01200000,-0.01200000,0,0.211000,,,0,,,,,839.04000,,,0,0.031000,0.001000,-0.001000,0,,,,,,,,,0.33,0.03,-0.03,0,0.050,0.200,-0.200,0,-1.886,,,0,,,,
GJ 876 b,GJ 876,1,4,0,61.08200000,0.00600000,-0.01000000,0,0.214000,0.001000,-0.001000,0,,,,,887.69135,1.16663,-1.16663,0,0.027000,0.002000,-0.002000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 b,GJ 876,1,4,0,61.08700000,0.01100000,-0.01200000,0,0.218585,0.000026,-0.000026,0,,,,,845.30000,16.60000,-15.00000,0,0.036800,0.001900,-0.002500,0,,,,,,,,,0.37,,,0,,,,,,,,,,,,
GJ 876 b,GJ 876,1,4,0,60.85000000,0.15000000,-0.15000000,0,0.210000,0.010000,-0.010000,0,,,,,670.59000,63.56000,-63.56000,0,0.270000,0.030000,-0.030000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 b,GJ 876,1,4,0,61.02000000,0.03000000,-0.03000000,0,0.208000,,,0,,,,,600.67000,95.34000,-95.34000,0,0.100000,0.020000,-0.020000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 b,GJ 876,1,4,0,61.40000000,0.20000000,-0.20000000,0,,,,,,,,,1144.18227,127.13136,-127.13136,0,0.160000,0.150000,-0.150000,0,,,,,,,,,,,,,,,,,,,,,,,,
GJ 876 b,GJ 876,1,4,0,61.03474000,0.00080000,-0.00084000,0,0.217700,0.001800,-0.001900,0,,,,,672.20708,11.12399,-11.44182,0,0.002000,0.001900,-0.001400,0,3293.74,48.39,-48.39,0,0.37,0.01,-0.01,0,0.37,0.01,-0.01,0,0.213,0.064,-0.064,0,,,,,4.87,0.01,-0.01,0
GJ 876 b,GJ 876,1,4,0,61.11660000,0.00860000,-0.00860000,0,0.208317,0.000020,-0.000020,0,,,,,723.22350,1.43020,-1.43020,0,0.032400,0.001300,-0.001300,0,,,,,0.30,,,0,0.32,0.03,-0.03,0,,,,,-1.907,,,0,,,,
GJ 876 c,GJ 876,1,4,0,30.45500000,0.01900000,-0.01900000,0,0.130650,0.000050,-0.000050,0,,,,,251.07500,1.90700,-1.90700,0,0.263200,0.001300,-0.001300,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 c,GJ 876,1,4,0,30.07840000,0.00750000,-0.00710000,0,0.135989,0.000023,-0.000021,0,,,,,266.20000,4.80000,-4.30000,0,0.253100,0.003100,-0.003100,0,,,,,,,,,0.37,,,0,,,,,,,,,,,,
GJ 876 c,GJ 876,1,4,0,30.12000000,0.02000000,-0.02000000,0,0.130000,,,0,,,,,177.98000,28.60000,-28.60000,0,0.270000,0.040000,-0.040000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 c,GJ 876,1,4,0,30.12600000,0.01100000,-0.00300000,0,0.134000,0.001000,-0.001000,0,,,,,281.74197,0.81664,-0.81664,0,0.250000,0.001000,-0.002000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 c,GJ 876,1,4,0,30.22902000,0.00052000,-0.00055000,0,0.136300,0.001100,-0.001200,0,,,,,221.84423,3.81394,-4.13177,0,0.006900,0.006300,-0.005000,0,3293.74,48.39,-48.39,0,0.37,0.01,-0.01,0,0.37,0.01,-0.01,0,0.213,0.064,-0.064,0,,,,,4.87,0.01,-0.01,0
GJ 876 c,GJ 876,1,4,0,30.08810000,0.00820000,-0.00820000,0,0.129590,0.000024,-0.000024,0,,,,,226.98460,1.23950,-1.23950,0,0.255910,0.000930,-0.000930,0,,,,,0.30,,,0,0.32,0.03,-0.03,0,,,,,-1.907,,,0,,,,
GJ 876 c,GJ 876,1,4,0,30.25900000,0.01000000,-0.01000000,0,0.132000,,,0,,,,,273.32000,,,0,0.265000,0.002000,-0.002000,0,,,,,,,,,0.33,0.03,-0.03,0,0.050,0.200,-0.200,0,-1.886,,,0,,,,
GJ 876 d,GJ 876,1,4,0,1.93778000,0.00002000,-0.00002000,0,,,,,,,,,5.85000,0.39000,-0.39000,0,0.207000,0.055000,-0.055000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 d,GJ 876,1,4,0,1.93785000,0.00002000,-0.00002000,0,0.021000,,,0,,,,,7.40000,,,0,0.124000,0.032000,-0.032000,0,,,,,,,,,0.33,0.03,-0.03,0,0.050,0.200,-0.200,0,-1.886,,,0,,,,
GJ 876 d,GJ 876,1,4,0,1.93784800,0.00002400,-0.00002300,0,0.021839,0.000000,0.000000,0,,,,,7.49000,0.43000,-0.41000,0,0.119000,0.050000,-0.052000,0,,,,,,,,,0.37,,,0,,,,,,,,,,,,
GJ 876 d,GJ 876,1,4,0,1.93800000,0.00100000,-0.00100000,0,0.021000,0.001000,-0.001000,0,,,,,8.06144,0.31499,-0.31499,0,0.082000,0.043000,-0.025000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 d,GJ 876,1,4,0,1.93774000,0.00006000,-0.00006000,0,0.020807,0.000000,0.000000,0,,,,,7.53000,0.70000,-0.70000,0,0.000000,,,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 d,GJ 876,1,4,0,1.93778000,0.00002000,-0.00002000,0,0.020807,0.000000,0.000000,0,,,,,6.83000,0.40000,-0.40000,0,0.207000,0.055000,-0.055000,0,,,,,0.30,,,0,0.32,0.03,-0.03,0,,,,,-1.907,,,0,,,,
GJ 876 d,GJ 876,1,4,0,1.93791600,0.00002700,-0.00003000,0,0.021830,0.000180,-0.000190,0,,,,,5.84804,0.50853,-0.47674,0,0.273000,0.093000,-0.098000,0,3293.74,48.39,-48.39,0,0.37,0.01,-0.01,0,0.37,0.01,-0.01,0,0.213,0.064,-0.064,0,,,,,4.87,0.01,-0.01,0
GJ 876 e,GJ 876,1,4,0,124.40000000,0.30000000,-0.70000000,0,0.345000,0.001000,-0.002000,0,,,,,18.00115,1.50496,-1.50496,0,0.040000,0.021000,-0.004000,0,3271.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.34,0.02,-0.02,0,,,,,-1.893,0.098,-0.127,0,4.87,0.00,0.00,0
GJ 876 e,GJ 876,1,4,0,124.50000000,1.33000000,-1.33000000,0,0.351400,0.002500,-0.002500,0,,,,,16.58000,1.96000,-2.11000,0,0.031000,0.030000,-0.025000,0,,,,,,,,,0.37,,,0,,,,,,,,,,,,
GJ 876 e,GJ 876,1,4,0,124.26000000,0.70000000,-0.70000000,0,0.334300,0.001300,-0.001300,0,,,,,14.60000,1.70000,-1.70000,0,0.055000,0.012000,-0.012000,0,,,,,0.30,,,0,0.32,0.03,-0.03,0,,,,,-1.907,,,0,,,,
HD 141399 b,HD 141399,1,4,0,94.44000000,0.05000000,-0.05000000,0,0.415000,0.011000,-0.011000,0,,,,,143.34133,9.53490,-9.53490,0,0.040000,0.020000,-0.020000,0,5600.00,40.00,-40.00,0,,,,,1.07,0.08,-0.08,0,0.350,0.030,-0.030,0,,,,,4.28,0.05,-0.05,0
HD 141399 b,HD 141399,1,4,0,94.37500000,0.02800000,-0.02900000,0,0.417600,0.007000,-0.007200,0,,,,,143.65844,5.40308,-5.40308,0,0.053000,0.015000,-0.015000,0,5594.76,86.52,-86.52,0,1.39,0.03,-0.03,0,1.09,0.06,-0.06,0,0.366,0.057,-0.057,0,,,,,4.19,0.03,-0.03,0
HD 141399 b,HD 141399,1,4,0,94.35000000,0.05900000,-0.05900000,0,0.422500,0.000180,-0.000180,0,,,,,146.20180,7.94575,-7.94575,0,0.040000,0.030000,-0.030000,0,5360.00,53.00,-53.00,0,1.46,0.15,-0.15,0,1.14,0.08,-0.08,0,0.180,0.160,-0.160,0,0.201,0.095,-0.122,0,,,,
HD 141399 c,HD 141399,1,4,0,201.77600000,0.05900000,-0.06000000,0,0.693000,0.012000,-0.012000,0,,,,,422.39395,14.62011,-14.93794,0,0.046500,0.006800,-0.006800,0,5594.76,86.52,-86.52,0,1.39,0.03,-0.03,0,1.09,0.06,-0.06,0,0.366,0.057,-0.057,0,,,,,4.19,0.03,-0.03,0
HD 141399 c,HD 141399,1,4,0,202.08000000,0.09900000,-0.09900000,0,0.702300,0.000230,-0.000230,0,,,,,432.24880,21.29461,-21.29461,0,0.050000,0.013000,-0.013000,0,5360.00,53.00,-53.00,0,1.46,0.15,-0.15,0,1.14,0.08,-0.08,0,0.180,0.160,-0.160,0,0.201,0.095,-0.122,0,,,,
HD 141399 c,HD 141399,1,4,0,201.99000000,0.08000000,-0.08000000,0,0.689000,0.020000,-0.020000,0,,,,,422.71390,25.42640,-25.42640,0,0.048000,0.009000,-0.009000,0,5600.00,40.00,-40.00,0,,,,,1.07,0.08,-0.08,0,0.350,0.030,-0.030,0,,,,,4.28,0.05,-0.05,0
HD 141399 d,HD 141399,1,4,0,1069.80000000,6.70000000,-6.70000000,0,2.090000,0.060000,-0.060000,0,,,,,375.03940,25.42640,-25.42640,0,0.074000,0.025000,-0.025000,0,5600.00,40.00,-40.00,0,,,,,1.07,0.08,-0.08,0,0.350,0.030,-0.030,0,,,,,4.28,0.05,-0.05,0
HD 141399 d,HD 141399,1,4,0,1074.80000000,3.20000000,-3.30000000,0,2.114000,0.036000,-0.037000,0,,,,,401.41728,14.93794,-14.93794,0,0.044000,0.013000,-0.013000,0,5594.76,86.52,-86.52,0,1.39,0.03,-0.03,0,1.09,0.06,-0.06,0,0.366,0.057,-0.057,0,,,,,4.19,0.03,-0.03,0
